COMMENT_ID,AUTHOR,DATE,CONTENT,VIDEO_NAME,CLASS
UgyxlSixfs4wNIn5sKp4AaABAg,we10troy5,2017-08-09T17:41:28,This video made me realize that my childhood is over,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugi-V_mWz25ABngCoAEC,aleksandriakirkland4506,2016-06-14T17:18:34,rewatching this after a few years...  oh lord the memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiSnQs9i50sGngCoAEC,felflamel5196,2014-09-03T01:46:40,80 MILLION VIEWS! WOW gg sparklez people love this song!,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugg9tz-Z8TFj2XgCoAEC,gammaknife167,2015-03-10T21:04:46,Rewatching this after one year. I remember first watching this I started crying. Once again I found myself crying. The story feels so much more realistic than the other music videos and when I see the final panoramic shot I just feel really sad. Nostalgia rules.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghWOv1vZAOJRXgCoAEC,ElectrifiedGamer,2016-08-01T22:43:16,Atleast Coldplay wasn't butthurt enough to copyright this,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UggNw121qHFkbHgCoAEC,LinkedWithZelda,2015-12-26T19:19:27,YouTube you may have taken Revenge and TNT away from us but you're never taking Fallen Kingdom. **Cocks gun** Not on my watch.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugirky_V2eTus3gCoAEC,Omnitrickster0207,2016-11-19T18:08:07,YouTube don't touch this beautiful parody that started it all,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiMTrpT7UrWAHgCoAEC,shinxbidreams2606,2016-08-01T21:06:35,The golden age of minecraft.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgheL8KI3mypNngCoAEC,N0VEMBYR,2017-01-28T07:39:32,Dear Minecraft I know you are growing old now. Thank you for giving me so much joy as a kid.   Dear Minecraft I will never forget all of the times you had me excited just for finding a stupid diamond.   Dear Minecraft I appreciate all of the times you pulled me out of depression.  For all of the times you had me running down the street from the bus just to get on the computer and play for 6 hours straight.  Thank you for letting me be a kid.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghNKh02_IMd1XgCoAEC,acu03,2015-07-21T04:30:47,The memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgyxlSixfs4wNIn5sKp4AaABAg,we10troy5,2017-08-09T17:41:28,This video made me realize that my childhood is over,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugi-V_mWz25ABngCoAEC,aleksandriakirkland4506,2016-06-14T17:18:34,rewatching this after a few years...  oh lord the memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiSnQs9i50sGngCoAEC,felflamel5196,2014-09-03T01:46:40,80 MILLION VIEWS! WOW gg sparklez people love this song!,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugg9tz-Z8TFj2XgCoAEC,gammaknife167,2015-03-10T21:04:46,Rewatching this after one year. I remember first watching this I started crying. Once again I found myself crying. The story feels so much more realistic than the other music videos and when I see the final panoramic shot I just feel really sad. Nostalgia rules.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghWOv1vZAOJRXgCoAEC,ElectrifiedGamer,2016-08-01T22:43:16,Atleast Coldplay wasn't butthurt enough to copyright this,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UggNw121qHFkbHgCoAEC,LinkedWithZelda,2015-12-26T19:19:27,YouTube you may have taken Revenge and TNT away from us but you're never taking Fallen Kingdom. **Cocks gun** Not on my watch.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugirky_V2eTus3gCoAEC,Omnitrickster0207,2016-11-19T18:08:07,YouTube don't touch this beautiful parody that started it all,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiMTrpT7UrWAHgCoAEC,shinxbidreams2606,2016-08-01T21:06:35,The golden age of minecraft.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgheL8KI3mypNngCoAEC,N0VEMBYR,2017-01-28T07:39:32,Dear Minecraft I know you are growing old now. Thank you for giving me so much joy as a kid.   Dear Minecraft I will never forget all of the times you had me excited just for finding a stupid diamond.   Dear Minecraft I appreciate all of the times you pulled me out of depression.  For all of the times you had me running down the street from the bus just to get on the computer and play for 6 hours straight.  Thank you for letting me be a kid.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghNKh02_IMd1XgCoAEC,acu03,2015-07-21T04:30:47,The memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgyxlSixfs4wNIn5sKp4AaABAg,we10troy5,2017-08-09T17:41:28,This video made me realize that my childhood is over,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugi-V_mWz25ABngCoAEC,aleksandriakirkland4506,2016-06-14T17:18:34,rewatching this after a few years...  oh lord the memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiSnQs9i50sGngCoAEC,felflamel5196,2014-09-03T01:46:40,80 MILLION VIEWS! WOW gg sparklez people love this song!,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugg9tz-Z8TFj2XgCoAEC,gammaknife167,2015-03-10T21:04:46,Rewatching this after one year. I remember first watching this I started crying. Once again I found myself crying. The story feels so much more realistic than the other music videos and when I see the final panoramic shot I just feel really sad. Nostalgia rules.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghWOv1vZAOJRXgCoAEC,ElectrifiedGamer,2016-08-01T22:43:16,Atleast Coldplay wasn't butthurt enough to copyright this,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UggNw121qHFkbHgCoAEC,LinkedWithZelda,2015-12-26T19:19:27,YouTube you may have taken Revenge and TNT away from us but you're never taking Fallen Kingdom. **Cocks gun** Not on my watch.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugirky_V2eTus3gCoAEC,Omnitrickster0207,2016-11-19T18:08:07,YouTube don't touch this beautiful parody that started it all,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiMTrpT7UrWAHgCoAEC,shinxbidreams2606,2016-08-01T21:06:35,The golden age of minecraft.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgheL8KI3mypNngCoAEC,N0VEMBYR,2017-01-28T07:39:32,Dear Minecraft I know you are growing old now. Thank you for giving me so much joy as a kid.   Dear Minecraft I will never forget all of the times you had me excited just for finding a stupid diamond.   Dear Minecraft I appreciate all of the times you pulled me out of depression.  For all of the times you had me running down the street from the bus just to get on the computer and play for 6 hours straight.  Thank you for letting me be a kid.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghNKh02_IMd1XgCoAEC,acu03,2015-07-21T04:30:47,The memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgyxlSixfs4wNIn5sKp4AaABAg,we10troy5,2017-08-09T17:41:28,This video made me realize that my childhood is over,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugi-V_mWz25ABngCoAEC,aleksandriakirkland4506,2016-06-14T17:18:34,rewatching this after a few years...  oh lord the memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiSnQs9i50sGngCoAEC,felflamel5196,2014-09-03T01:46:40,80 MILLION VIEWS! WOW gg sparklez people love this song!,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugg9tz-Z8TFj2XgCoAEC,gammaknife167,2015-03-10T21:04:46,Rewatching this after one year. I remember first watching this I started crying. Once again I found myself crying. The story feels so much more realistic than the other music videos and when I see the final panoramic shot I just feel really sad. Nostalgia rules.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghWOv1vZAOJRXgCoAEC,ElectrifiedGamer,2016-08-01T22:43:16,Atleast Coldplay wasn't butthurt enough to copyright this,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UggNw121qHFkbHgCoAEC,LinkedWithZelda,2015-12-26T19:19:27,YouTube you may have taken Revenge and TNT away from us but you're never taking Fallen Kingdom. **Cocks gun** Not on my watch.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugirky_V2eTus3gCoAEC,Omnitrickster0207,2016-11-19T18:08:07,YouTube don't touch this beautiful parody that started it all,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiMTrpT7UrWAHgCoAEC,shinxbidreams2606,2016-08-01T21:06:35,The golden age of minecraft.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgheL8KI3mypNngCoAEC,N0VEMBYR,2017-01-28T07:39:32,Dear Minecraft I know you are growing old now. Thank you for giving me so much joy as a kid.   Dear Minecraft I will never forget all of the times you had me excited just for finding a stupid diamond.   Dear Minecraft I appreciate all of the times you pulled me out of depression.  For all of the times you had me running down the street from the bus just to get on the computer and play for 6 hours straight.  Thank you for letting me be a kid.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghNKh02_IMd1XgCoAEC,acu03,2015-07-21T04:30:47,The memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgyxlSixfs4wNIn5sKp4AaABAg,we10troy5,2017-08-09T17:41:28,This video made me realize that my childhood is over,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugi-V_mWz25ABngCoAEC,aleksandriakirkland4506,2016-06-14T17:18:34,rewatching this after a few years...  oh lord the memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiSnQs9i50sGngCoAEC,felflamel5196,2014-09-03T01:46:40,80 MILLION VIEWS! WOW gg sparklez people love this song!,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugg9tz-Z8TFj2XgCoAEC,gammaknife167,2015-03-10T21:04:46,Rewatching this after one year. I remember first watching this I started crying. Once again I found myself crying. The story feels so much more realistic than the other music videos and when I see the final panoramic shot I just feel really sad. Nostalgia rules.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghWOv1vZAOJRXgCoAEC,ElectrifiedGamer,2016-08-01T22:43:16,Atleast Coldplay wasn't butthurt enough to copyright this,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UggNw121qHFkbHgCoAEC,LinkedWithZelda,2015-12-26T19:19:27,YouTube you may have taken Revenge and TNT away from us but you're never taking Fallen Kingdom. **Cocks gun** Not on my watch.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugirky_V2eTus3gCoAEC,Omnitrickster0207,2016-11-19T18:08:07,YouTube don't touch this beautiful parody that started it all,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiMTrpT7UrWAHgCoAEC,shinxbidreams2606,2016-08-01T21:06:35,The golden age of minecraft.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgheL8KI3mypNngCoAEC,N0VEMBYR,2017-01-28T07:39:32,Dear Minecraft I know you are growing old now. Thank you for giving me so much joy as a kid.   Dear Minecraft I will never forget all of the times you had me excited just for finding a stupid diamond.   Dear Minecraft I appreciate all of the times you pulled me out of depression.  For all of the times you had me running down the street from the bus just to get on the computer and play for 6 hours straight.  Thank you for letting me be a kid.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghNKh02_IMd1XgCoAEC,acu03,2015-07-21T04:30:47,The memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgyxlSixfs4wNIn5sKp4AaABAg,we10troy5,2017-08-09T17:41:28,This video made me realize that my childhood is over,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugi-V_mWz25ABngCoAEC,aleksandriakirkland4506,2016-06-14T17:18:34,rewatching this after a few years...  oh lord the memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiSnQs9i50sGngCoAEC,felflamel5196,2014-09-03T01:46:40,80 MILLION VIEWS! WOW gg sparklez people love this song!,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugg9tz-Z8TFj2XgCoAEC,gammaknife167,2015-03-10T21:04:46,Rewatching this after one year. I remember first watching this I started crying. Once again I found myself crying. The story feels so much more realistic than the other music videos and when I see the final panoramic shot I just feel really sad. Nostalgia rules.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghWOv1vZAOJRXgCoAEC,ElectrifiedGamer,2016-08-01T22:43:16,Atleast Coldplay wasn't butthurt enough to copyright this,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UggNw121qHFkbHgCoAEC,LinkedWithZelda,2015-12-26T19:19:27,YouTube you may have taken Revenge and TNT away from us but you're never taking Fallen Kingdom. **Cocks gun** Not on my watch.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugirky_V2eTus3gCoAEC,Omnitrickster0207,2016-11-19T18:08:07,YouTube don't touch this beautiful parody that started it all,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiMTrpT7UrWAHgCoAEC,shinxbidreams2606,2016-08-01T21:06:35,The golden age of minecraft.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgheL8KI3mypNngCoAEC,N0VEMBYR,2017-01-28T07:39:32,Dear Minecraft I know you are growing old now. Thank you for giving me so much joy as a kid.   Dear Minecraft I will never forget all of the times you had me excited just for finding a stupid diamond.   Dear Minecraft I appreciate all of the times you pulled me out of depression.  For all of the times you had me running down the street from the bus just to get on the computer and play for 6 hours straight.  Thank you for letting me be a kid.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghNKh02_IMd1XgCoAEC,acu03,2015-07-21T04:30:47,The memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgyxlSixfs4wNIn5sKp4AaABAg,we10troy5,2017-08-09T17:41:28,This video made me realize that my childhood is over,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugi-V_mWz25ABngCoAEC,aleksandriakirkland4506,2016-06-14T17:18:34,rewatching this after a few years...  oh lord the memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiSnQs9i50sGngCoAEC,felflamel5196,2014-09-03T01:46:40,80 MILLION VIEWS! WOW gg sparklez people love this song!,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugg9tz-Z8TFj2XgCoAEC,gammaknife167,2015-03-10T21:04:46,Rewatching this after one year. I remember first watching this I started crying. Once again I found myself crying. The story feels so much more realistic than the other music videos and when I see the final panoramic shot I just feel really sad. Nostalgia rules.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghWOv1vZAOJRXgCoAEC,ElectrifiedGamer,2016-08-01T22:43:16,Atleast Coldplay wasn't butthurt enough to copyright this,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UggNw121qHFkbHgCoAEC,LinkedWithZelda,2015-12-26T19:19:27,YouTube you may have taken Revenge and TNT away from us but you're never taking Fallen Kingdom. **Cocks gun** Not on my watch.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugirky_V2eTus3gCoAEC,Omnitrickster0207,2016-11-19T18:08:07,YouTube don't touch this beautiful parody that started it all,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiMTrpT7UrWAHgCoAEC,shinxbidreams2606,2016-08-01T21:06:35,The golden age of minecraft.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgheL8KI3mypNngCoAEC,N0VEMBYR,2017-01-28T07:39:32,Dear Minecraft I know you are growing old now. Thank you for giving me so much joy as a kid.   Dear Minecraft I will never forget all of the times you had me excited just for finding a stupid diamond.   Dear Minecraft I appreciate all of the times you pulled me out of depression.  For all of the times you had me running down the street from the bus just to get on the computer and play for 6 hours straight.  Thank you for letting me be a kid.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghNKh02_IMd1XgCoAEC,acu03,2015-07-21T04:30:47,The memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgyxlSixfs4wNIn5sKp4AaABAg,we10troy5,2017-08-09T17:41:28,This video made me realize that my childhood is over,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugi-V_mWz25ABngCoAEC,aleksandriakirkland4506,2016-06-14T17:18:34,rewatching this after a few years...  oh lord the memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiSnQs9i50sGngCoAEC,felflamel5196,2014-09-03T01:46:40,80 MILLION VIEWS! WOW gg sparklez people love this song!,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugg9tz-Z8TFj2XgCoAEC,gammaknife167,2015-03-10T21:04:46,Rewatching this after one year. I remember first watching this I started crying. Once again I found myself crying. The story feels so much more realistic than the other music videos and when I see the final panoramic shot I just feel really sad. Nostalgia rules.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghWOv1vZAOJRXgCoAEC,ElectrifiedGamer,2016-08-01T22:43:16,Atleast Coldplay wasn't butthurt enough to copyright this,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UggNw121qHFkbHgCoAEC,LinkedWithZelda,2015-12-26T19:19:27,YouTube you may have taken Revenge and TNT away from us but you're never taking Fallen Kingdom. **Cocks gun** Not on my watch.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugirky_V2eTus3gCoAEC,Omnitrickster0207,2016-11-19T18:08:07,YouTube don't touch this beautiful parody that started it all,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiMTrpT7UrWAHgCoAEC,shinxbidreams2606,2016-08-01T21:06:35,The golden age of minecraft.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgheL8KI3mypNngCoAEC,N0VEMBYR,2017-01-28T07:39:32,Dear Minecraft I know you are growing old now. Thank you for giving me so much joy as a kid.   Dear Minecraft I will never forget all of the times you had me excited just for finding a stupid diamond.   Dear Minecraft I appreciate all of the times you pulled me out of depression.  For all of the times you had me running down the street from the bus just to get on the computer and play for 6 hours straight.  Thank you for letting me be a kid.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghNKh02_IMd1XgCoAEC,acu03,2015-07-21T04:30:47,The memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgyxlSixfs4wNIn5sKp4AaABAg,we10troy5,2017-08-09T17:41:28,This video made me realize that my childhood is over,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugi-V_mWz25ABngCoAEC,aleksandriakirkland4506,2016-06-14T17:18:34,rewatching this after a few years...  oh lord the memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiSnQs9i50sGngCoAEC,felflamel5196,2014-09-03T01:46:40,80 MILLION VIEWS! WOW gg sparklez people love this song!,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugg9tz-Z8TFj2XgCoAEC,gammaknife167,2015-03-10T21:04:46,Rewatching this after one year. I remember first watching this I started crying. Once again I found myself crying. The story feels so much more realistic than the other music videos and when I see the final panoramic shot I just feel really sad. Nostalgia rules.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghWOv1vZAOJRXgCoAEC,ElectrifiedGamer,2016-08-01T22:43:16,Atleast Coldplay wasn't butthurt enough to copyright this,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UggNw121qHFkbHgCoAEC,LinkedWithZelda,2015-12-26T19:19:27,YouTube you may have taken Revenge and TNT away from us but you're never taking Fallen Kingdom. **Cocks gun** Not on my watch.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugirky_V2eTus3gCoAEC,Omnitrickster0207,2016-11-19T18:08:07,YouTube don't touch this beautiful parody that started it all,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiMTrpT7UrWAHgCoAEC,shinxbidreams2606,2016-08-01T21:06:35,The golden age of minecraft.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgheL8KI3mypNngCoAEC,N0VEMBYR,2017-01-28T07:39:32,Dear Minecraft I know you are growing old now. Thank you for giving me so much joy as a kid.   Dear Minecraft I will never forget all of the times you had me excited just for finding a stupid diamond.   Dear Minecraft I appreciate all of the times you pulled me out of depression.  For all of the times you had me running down the street from the bus just to get on the computer and play for 6 hours straight.  Thank you for letting me be a kid.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghNKh02_IMd1XgCoAEC,acu03,2015-07-21T04:30:47,The memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgyxlSixfs4wNIn5sKp4AaABAg,we10troy5,2017-08-09T17:41:28,This video made me realize that my childhood is over,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugi-V_mWz25ABngCoAEC,aleksandriakirkland4506,2016-06-14T17:18:34,rewatching this after a few years...  oh lord the memories,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiSnQs9i50sGngCoAEC,felflamel5196,2014-09-03T01:46:40,80 MILLION VIEWS! WOW gg sparklez people love this song!,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugg9tz-Z8TFj2XgCoAEC,gammaknife167,2015-03-10T21:04:46,Rewatching this after one year. I remember first watching this I started crying. Once again I found myself crying. The story feels so much more realistic than the other music videos and when I see the final panoramic shot I just feel really sad. Nostalgia rules.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UghWOv1vZAOJRXgCoAEC,ElectrifiedGamer,2016-08-01T22:43:16,Atleast Coldplay wasn't butthurt enough to copyright this,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UggNw121qHFkbHgCoAEC,LinkedWithZelda,2015-12-26T19:19:27,YouTube you may have taken Revenge and TNT away from us but you're never taking Fallen Kingdom. **Cocks gun** Not on my watch.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
Ugirky_V2eTus3gCoAEC,Omnitrickster0207,2016-11-19T18:08:07,YouTube don't touch this beautiful parody that started it all,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgiMTrpT7UrWAHgCoAEC,shinxbidreams2606,2016-08-01T21:06:35,The golden age of minecraft.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
UgheL8KI3mypNngCoAEC,N0VEMBYR,2017-01-28T07:39:32,Dear Minecraft I know you are growing old now. Thank you for giving me so much joy as a kid.   Dear Minecraft I will never forget all of the times you had me excited just for finding a stupid diamond.   Dear Minecraft I appreciate all of the times you pulled me out of depression.  For all of the times you had me running down the street from the bus just to get on the computer and play for 6 hours straight.  Thank you for letting me be a kid.,"Fallen Kingdom" - A Minecraft Parody of Coldplay's Viva la Vida (Music Video),2
